identifier,name,alt_name,lat,long,admin_name,admin_code,population,flag,area
700000287,Tsaghkahovit,Tzaghkahovit|Gadzhi-Khalil|Tsakhkaovit,40.6343,44.2224,Aragatsotn,AM-AG,1486,PM,32.45
700000288,Anushavan,Parni|Pokr Parni,40.6501,43.9805,Shirak,AM-SH,1467,PM,17.97
700000289,Tavush,,40.92,45.4022,Tavush,AM-TV,1466,PM,#VALUE!
700000290,Lerrnavan,Kachagan|Lernavan,40.7882,44.1602,Lori,AM-LO,1453,PM,23.74
700000291,Lusakunk’,,40.1751,45.6917,Geghark'unik',AM-GR,1452,PM,#VALUE!
700000292,Kotayk’,Yelgovan,40.2779,44.6639,Kotayk',AM-KT,1446,PM,11.98
700000293,Artimet,Atarbekyan|Alibeklu,40.1501,44.2667,Armavir,AM-AV,1438,PM,7.04
700000294,Basen,Musayelyan|Mets Kyapanak,40.7577,43.9927,Shirak,AM-SH,1436,PM,17.58
700000295,Lenughi,,40.1251,43.9639,Armavir,AM-AV,1436,PM,7.03
700000296,Geghahovit,,40.1115,45.2873,Geghark'unik',AM-GR,1416,PM,#VALUE!
700000297,Nor Gyugh,Nor Gyukh|Tazagyukh,40.2667,44.6583,Kotayk',AM-KT,1401,PM,11.60
700000298,Nor Yerznka,,40.3001,44.3889,Aragatsotn,AM-AG,1398,PM,30.53
700000299,Zarrit’ap’,Pashaghu|Zaritap|Azizbekov|Pashalu,39.6389,45.5111,Vayots' Dzor,AM-VD,1392,PM,57.13
700000300,Franganots,,40.2464,44.2725,Armavir,AM-AV,1388,PM,#VALUE!
700000301,K’arahunj,,39.4738,46.3596,Syunik',AM-SU,1377,PM,#VALUE!
700000302,Arevashat,Varmaziar|Arevashet,40.1445,44.3751,Armavir,AM-AV,1343,PM,6.58
700000303,Spandaryan,Gyullija|Kulidzhan,40.661,44.0155,Shirak,AM-SH,1343,PM,38.06
700000304,Tsaghkalanj,,40.2001,44.2305,Armavir,AM-AV,1332,PM,#VALUE!
700000305,Zorak,,41.0237,44.1819,Lori,AM-LO,1331,PM,21.75
700000306,Kat’naghbyur,,40.3772,43.9383,Ararat,AM-AG,1329,PM,#VALUE!
700000307,Abovyan,,40.0485,44.5474,Ararat,AM-AR,1321,PM,13.10
700000308,Arazap’,Evdzhilar|Arazap,40.0417,44.1473,Armavir,AM-AV,1315,PM,6.44
700000309,Tsaghkadzor,Darachichag|Tsakhkadzor,40.5333,44.7206,Kotayk',AM-KT,1314,FULL,4.35
700000310,Teghut,,40.7777,44.935,Tavush,AM-TV,1312,PM,#VALUE!
700000311,Rrind,Rind,39.7611,45.1779,Vayots' Dzor,AM-VD,1310,PM,59.07
700000312,Sarahart’,Gyullidzha|Saraart,40.8704,44.2141,Lori,AM-LO,1307,PM,21.35
700000313,Getap’nya,,40.1405,44.4325,Ararat,AM-AR,1305,PM,#VALUE!
700000314,Aknashen,Khatunarkh|Verkhniy Khatunarkh|Verin Khatunarkh,40.0976,44.2853,Armavir,AM-AV,1303,PM,6.39
700000315,Margara,Markara,40.0333,44.1805,Armavir,AM-AV,1303,PM,10.75
700000316,Haykavan,Aykavan|Tapadibi,40.0889,44.0389,Armavir,AM-AV,1297,PM,5.63
700000317,Haykavan,Aykavan|Badzhogli,40.8031,43.7517,Shirak,AM-SH,1297,PM,5.63
700000318,Kanach’ut,,40.0095,44.5453,Ararat,AM-AR,1294,PM,#VALUE!
700000319,Aygepat,Dargalu Verkhniy|Masumlu|Verkhniy Dargalu,39.9585,44.5998,Ararat,AM-AR,1291,PM,11.04
700000320,Yeraskhahun,Yeraskhaun|Kuru-Araz,40.0723,44.2195,Armavir,AM-AV,1289,PM,6.31
700000321,Geghanist,Geghadir|Gekhadir|Gekhanist|Golgat,40.6847,44.0233,Shirak,AM-SH,1287,PM,#VALUE!
700000322,Ptghunk’,Ptkhunk,40.1639,44.3639,Armavir,AM-AV,1287,PM,6.31
700000323,Kamo,Gadzhi Nazar,40.8257,43.9507,Shirak,AM-SH,1283,PM,15.72
700000324,Zarr,,40.2585,44.7333,Kotayk',AM-KT,1283,PM,10.63
700000325,Lerrnakert,Shirvan|Shirvandzhug|Lernakert,40.5625,43.9389,Shirak,AM-SH,1252,PM,15.32
700000326,Gagarin,,40.5403,44.8696,Geghark'unik',AM-GR,1251,PM,20.49
700000327,Akhurik,,40.7421,43.7767,Shirak,AM-SH,1247,PM,12.00
700000328,Vardablur,Verdablur,40.9711,44.5075,Lori,AM-LO,1243,PM,20.30
700000329,Voskevan,Koshkotan,41.1208,45.0638,Tavush,AM-TV,1234,PM,24.16
700000330,Yerazgavors,,40.7029,43.7765,Shirak,AM-SH,1231,PM,15.07
700000331,Artashar,,40.1111,44.1833,Armavir,AM-AV,1228,PM,#VALUE!
700000332,Ushi,,40.3473,44.3751,Aragatsotn,AM-AG,1222,PM,26.70
700000333,Sarataki,,40.7431,44.1083,Shirak,AM-SH,1221,PM,#VALUE!
700000334,Bardzrashen,Baburli|Bartsrashen,40.5929,43.7372,Shirak,AM-SH,1219,PM,14.93
700000335,Gmbet’,,40.7973,45.1335,Tavush,AM-TV,1214,PM,23.79
700000336,Fioletovo,Nikitino,40.7224,44.7177,Lori,AM-LO,1211,PM,19.78
700000337,Shak’i,,39.6195,46.0167,Syunik',AM-SU,1207,PM,60.67
700000338,Urut,,40.8001,44.3779,Lorri,AM-LO,1207,PM,#VALUE!
700000339,Aghavnadzor,Babakishi|Agavnadzor|Akhavnadzor,40.5819,44.6958,Kotayk',AM-KT,1199,PM,11.89
700000340,Kaputan,Gëykilisa,40.3251,44.7001,Kotayk',AM-KT,1199,PM,9.94
700000341,Tsaghkunk’,,40.1805,44.2723,Armavir,AM-AV,1193,PM,#VALUE!
700000342,Archis,,41.1635,44.8763,Tavush,AM-TV,1183,PM,23.19
700000343,Ptghni,Ptykhni|Ptkhni|Ptgni,40.2557,44.5861,Kotayk',AM-KT,1179,PM,9.77
700000344,Byuravan,Bambakavan|Verin Kuylasar|Verkhniy Kuylasar,40.016,44.5189,Ararat,AM-AR,1177,PM,10.05
700000345,Navur,,40.8669,45.3418,Tavush,AM-TV,1176,PM,23.04
700000346,Melik’gyugh,,40.6654,44.3536,Aragatsotn,AM-AG,1175,PM,#VALUE!
700000347,Narek,,40.0029,44.6805,Ararat,AM-AR,1169,PM,#VALUE!
700000348,Yeghegnavan,Shidlu,39.8389,44.6195,Ararat,AM-AR,1169,PM,9.99
700000349,Vahramaberd,,40.8554,46.7408,Shirak,AM-SH,1164,PM,#VALUE!
700000350,Gomk’,,41.0111,44.0501,Shirak,AM-SH,1162,PM,#VALUE!
700000351,Dimitrov,,40.0085,44.4917,Ararat,AM-AR,1160,PM,9.92
700000352,Arp’i,,39.7389,45.2667,Vayots' Dzor,AM-VD,1158,PM,#VALUE!
700000353,Tsaghkaber,Tsakhkashen|Avdibek|Tzaghkaber|Tsakhkaber,40.7985,44.1014,Lori,AM-LO,1155,PM,16.99
700000354,Norashen,,40.6572,44.0718,Aragatsotn,AM-AG,1150,PM,16.26
700000355,Agarakadzor,Ayar,39.7361,45.3555,Vayots' Dzor,AM-VD,1144,PM,51.60
700000356,Lerrnants’k’,Lernantsk|Spitak|Lerrnants’k’,40.7953,44.2743,Lori,AM-LO,1141,PM,18.66
700000357,Doghs,Dokhs,40.2223,44.2723,Armavir,AM-AV,1136,PM,5.56
700000358,Vahagni,Shagali|Vaagni,40.907,44.6087,Lori,AM-LO,1134,PM,18.53
700000359,Shahumyan,Shaumyan|Molla Dursun|Shahumian,40.2139,44.3001,Armavir,AM-AV,1129,PM,#VALUE!
700000360,Artavaz,,40.6171,44.569,Kotayk',AM-KT,1118,PM,#VALUE!
700000361,Zoravan,Kargavank|Pokravan,40.3555,44.5223,Kotayk',AM-KT,1118,PM,9.26
700000362,Vernashen,Bashkend,39.7924,45.3639,Vayots' Dzor,AM-VD,1114,PM,50.18
700000363,Dzit’hank’ov,Bazirkhana|Dzitkhankov|Dzitankov,40.5085,43.8209,Shirak,AM-SH,1113,PM,13.63
700000364,Saralanj,,40.6212,44.0204,Shirak,AM-SH,1111,PM,#VALUE!
700000365,Korrnidzor,,39.5476,46.5305,Syunik',AM-SU,1110,PM,24.18
700000366,Geghadzor,,40.6273,44.171,Aragatsotn,AM-AG,1109,PM,#VALUE!
700000367,Yeghegnut,Yegegnut|Kamyshkut|Yekhegnut|Yekheknut,40.903,44.6315,Lori,AM-LO,1106,PM,18.06
700000368,Vahan,Ordzhonikidze|Orconikidze,40.5755,45.3977,Geghark'unik',AM-GR,1104,PM,18.10
700000369,Haykashen,,39.4389,46.2445,Syunik',AM-SU,1092,PM,35.39
700000370,Sis,Uliya Sarvanlar|Sarvanlar,40.0583,44.3889,Ararat,AM-AR,1087,PM,9.29
700000371,Hovtashen,Ovtashen,40.0251,44.4501,Ararat,AM-AR,1086,PM,9.28
700000372,Ashnak,,40.3307,43.9167,Aragatsotn,AM-AG,1083,PM,23.67
700000373,Zangakatun,Chanakhchi|Sovetashen|Nizhniye Chanakhchi,39.8223,45.0417,Ararat,AM-AR,1082,PM,9.25
700000374,Darbnik,,40.1083,44.3779,Ararat,AM-AR,1080,PM,#VALUE!
700000375,Harrich,,40.6095,44.0031,Shirak,AM-SH,1078,PM,1.08
700000376,Khach’aghbyur,,40.1083,45.7279,Geghark'unik',AM-GR,1073,PM,#VALUE!
700000377,Saratak,Imrkhan,40.6709,43.8723,Shirak,AM-SH,1068,PM,13.08
700000378,Bazum,Bzovdal,40.8676,44.4398,Lori,AM-LO,1067,PM,17.43
700000379,Gharibjanyan,,40.7403,43.8041,Shirak,AM-SH,1064,PM,#VALUE!
700000380,Saramej,Chotur|Saramech,40.7749,44.2222,Lori,AM-LO,1064,PM,17.39
700000381,Baghramyan,Bagramyan,40.1945,44.3695,Armavir,AM-AV,1062,PM,11.01
700000382,Meghrashen,Kazanchi|Megrashen,40.6723,43.9583,Shirak,AM-SH,1061,PM,12.98
700000383,Privolnoye,,41.1463,44.4457,Lorri,AM-LO,1057,PM,5.51
700000384,Urrut,Urut,41.0678,44.3963,Lori,AM-LO,1056,PM,17.25
700000385,Lorut,,40.9372,44.7714,Lori,AM-LO,1055,PM,17.23
700000386,Sarigyugh,Srygekh|Srigekh|Sarigyukh|Sarıgüh,41.0353,45.1449,Tavush,AM-TV,1050,PM,20.58
700000387,Aygek,,40.1889,44.3861,Armavir,AM-AV,1049,PM,5.14
700000388,Dzorakap,,40.5681,43.8807,Shirak,AM-SH,1048,PM,#VALUE!
700000389,Gogaran,Gëran,40.8925,44.1991,Lori,AM-LO,1043,PM,17.03
700000390,Tsaghkunk’,Tsakhkunk|Tzaghkunk,40.5779,44.8779,Geghark'unik',AM-GR,1043,PM,17.10
700000391,Yelp’in,,39.8111,45.1111,Vayots' Dzor,AM-VD,1037,PM,#VALUE!
700000392,Metsamor,Kamarlu,40.1444,44.1167,Armavir,AM-AV,1034,PM,9.12
700000393,Sverdlov,,41.0965,44.3984,Lorri,AM-LO,1028,PM,#VALUE!
700000394,Aruch,,40.2875,44.078,Aragatsotn,AM-AG,1022,PM,#VALUE!
700000395,Norashen,,40.4802,43.6708,Shirak,AM-SH,1016,PM,#VALUE!
700000396,Arjut,,40.8612,44.3759,Lorri,AM-LO,1015,PM,26.95
700000397,Geghamasar,Gukarrich|Shishkaya|Şişqaya,40.3109,45.6792,Geghark'unik',AM-GR,1015,PM,16.64
700000398,Nizami,,40.0917,44.4057,Ararat,AM-AR,1015,PM,8.67
700000399,Khnatsakh,,39.6055,46.3917,Syunik',AM-SU,1006,PM,29.41
700000400,Lusaghbyur,,41.0293,44.2333,Lorri,AM-LO,1006,PM,#VALUE!
700000401,Tsiatsan,Grampa,40.1861,44.2695,Armavir,AM-AV,1005,PM,4.93
700000402,Yeghegis,Alagyaz|Yekhegis|Erdapin|Alayaz,39.8723,45.3501,Vayots' Dzor,AM-VD,1002,PM,45.13
700000403,Karrnut,,40.7836,43.9569,Shirak,AM-SH,1001,PM,#VALUE!
700000404,Deghdzut,,40.0262,44.5491,Ararat,AM-AR,998,PM,#VALUE!
700000405,Arevabuyr,,40.0361,44.4695,Ararat,AM-AR,997,PM,8.52
700000406,Irind,,40.3917,43.9779,Aragatsotn,AM-AG,994,PM,#VALUE!
700000407,Artabuynk’,,39.8667,45.3279,Vayots' Dzor,AM-VD,993,PM,#VALUE!
700000408,Dzorastan,Khlatag|Akhtakhana|Dzorastan,39.2706,46.3572,Syunik',AM-SU,991,PM,32.10
700000409,Nor Yedesia,,40.2223,44.1335,Aragatsotn,AM-AG,991,PM,#VALUE!
700000410,Jrahovit,Dzhraovit|Dzhabachalu,40.0473,44.4751,Ararat,AM-AR,989,PM,8.44
700000411,Lchap’,Lehap|Agzibir,40.4557,45.0751,Geghark'unik',AM-GR,989,PM,16.20
700000412,Mrganush,Zograblu,40.0286,44.5583,Ararat,AM-AR,989,PM,8.44
700000413,Akner,,39.5349,46.3073,Syunik',AM-SU,985,PM,1.89
700000414,Voskehat,,40.2779,44.2751,Aragatsotn,AM-AG,983,PM,#VALUE!
700000415,Madina,,40.0764,45.2551,Geghark'unik',AM-GR,982,PM,16.08
700000416,Fantan,Fontan,40.3945,44.6861,Kotayk',AM-KT,976,PM,8.09
700000417,Hovtamej,Ovtamech|Mugan,40.1833,44.2585,Armavir,AM-AV,975,PM,4.78
700000418,Drakhtik,,40.0695,44.0807,Armavir,AM-AV,973,PM,4.77
700000419,Noravan,,40.1723,44.0333,Armavir,AM-AV,970,PM,#VALUE!
700000420,Arevatsag,,40.9721,44.6091,Lorri,AM-LO,968,PM,#VALUE!
700000421,Mrgastan,,40.2001,44.2779,Armavir,AM-AV,968,PM,#VALUE!
700000422,Shaghat,Shagat,39.557,45.9073,Syunik',AM-SU,968,PM,31.39
700000423,Amasia,,40.0833,43.9667,Armavir,AM-AV,966,PM,#VALUE!
700000424,Voghjaberd,,40.1681,44.6482,Kotayk',AM-KT,965,PM,#VALUE!
700000425,Shirak,Kunakhkran|Konakhkran,40.8404,43.9158,Shirak,AM-SH,964,PM,11.81
700000426,Bazmaghbyur,,40.3361,44.3139,Aragatsotn,AM-AG,958,PM,#VALUE!
700000427,Gorayk’,Bazarchay,39.6763,45.7693,Syunik',AM-SU,958,PM,31.05
700000428,Aragyugh,Aragyukh|Karadzhoran,40.4029,44.5445,Kotayk',AM-KT,957,PM,7.93
700000429,Aygut,Gëlkend|Gölkənd,40.683,45.1763,Geghark'unik',AM-GR,955,PM,15.66
700000430,Debet,,40.9179,44.6493,Lorri,AM-LO,953,PM,#VALUE!
700000431,Gosh,,40.7305,45.0001,Tavush,AM-TV,952,PM,18.66
700000432,Kech’ut,,39.8361,45.1307,Vayots' Dzor,AM-VD,952,PM,#VALUE!
700000433,Khot,,39.4436,46.3372,Syunik',AM-SU,950,PM,17.97
700000434,T’t’ujur,,40.6464,45.3159,Geghark'unik',AM-GR,950,PM,#VALUE!
700000435,Rranch’par,Ranchpar,40.0279,44.3695,Ararat,AM-AR,947,PM,8.09
700000436,Hatsik,,40.8475,43.874167,Shirak,AM-SH,945,PM,#VALUE!
700000437,Lusagyugh,,40.0889,44.2695,Armavir,AM-AV,938,PM,#VALUE!
700000438,Byurakn,,40.8681,43.9098,Shirak,AM-SH,934,PM,#VALUE!
700000439,Gyullibulagh,,40.8686,43.7147,Shirak,AM-SH,934,PM,#VALUE!
700000440,Lanjik,,40.5041,43.8625,Shirak,AM-SH,932,PM,#VALUE!
700000441,Berdik,,39.9945,44.5723,Ararat,AM-AR,925,PM,#VALUE!
700000442,Avan,,40.3354,44.1674,Aragatsotn,AM-AG,923,PM,#VALUE!
700000443,Lermontovo,,40.7602,44.6316,Lorri,AM-LO,922,PM,#VALUE!
700000444,Hart’avan,,40.4779,44.4001,Aragatsotn,AM-AG,921,PM,#VALUE!
700000445,Vardanashen,,40.1529,44.1945,Armavir,AM-AV,921,PM,#VALUE!
700000446,Shaghap’,,39.8807,44.8917,Ararat,AM-AR,906,PM,#VALUE!
700000447,Ch’orat’an,,40.8619,45.4879,Tavush,AM-TV,905,PM,#VALUE!
700000448,Gusanagyugh,,40.6639,43.7931,Shirak,AM-SH,905,PM,#VALUE!
700000449,Zovk’,,40.2054,44.6933,Kotayk',AM-KT,904,PM,#VALUE!
700000450,Lejan,,41.0273,44.4451,Lorri,AM-LO,903,PM,#VALUE!
700000451,Baghanis,,41.1092,45.0566,Tavush,AM-TV,900,PM,1259.00
700000452,Zorakan,,41.2209,44.936,Tavush,AM-TV,898,PM,#VALUE!
700000453,Ch’inari,,40.8547,45.5778,Tavush,AM-TV,894,PM,#VALUE!
700000454,Tsaghkavan,,40.9413,45.3308,Tavush,AM-TV,894,PM,#VALUE!
700000455,Harzhis,,39.4344,46.222,Syunik',AM-SU,886,PM,33.86
700000456,Hushakert,,40.0833,43.9305,Armavir,AM-AV,884,PM,#VALUE!
700000457,Lerrnadzor,,39.1583,46.2001,Syunik',AM-SU,873,PM,#VALUE!
700000458,Yeraskh,,39.7394,44.8281,Ararat,AM-AR,872,PM,#VALUE!
700000459,Khach’ik,,39.622,45.2084,Vayots' Dzor,AM-VD,870,PM,62.11
700000460,Khech’ik,,39.6216,45.2055,Shirak,AM-SH,870,PM,#VALUE!
700000461,Vardenut,,40.4695,44.3667,Aragatsotn,AM-AG,860,PM,#VALUE!
700000462,Shenik,,40.2111,43.7695,Armavir,AM-AV,859,PM,#VALUE!
700000463,Jrap’i,,40.5553,43.6808,Shirak,AM-SH,852,PM,#VALUE!
700000464,Vanand,,40.1083,43.8167,Armavir,AM-AV,852,PM,31.75
700000465,Mikhayelovka,,41.164,44.2783,Lorri,AM-LO,847,PM,#VALUE!
700000466,Mughni,,40.3167,44.3723,Aragatsotn,AM-AG,846,PM,#VALUE!
700000467,Ptghavan,,41.2297,44.8535,Tavush,AM-TV,838,PM,#VALUE!
700000468,Gndevaz,,39.7611,45.6223,Vayots' Dzor,AM-VD,836,PM,#VALUE!
700000469,Isahakyan,,40.6156,43.7264,Shirak,AM-SH,831,PM,#VALUE!
700000470,Jajurr,,40.8515,43.9534,Shirak,AM-SH,831,PM,#VALUE!
700000471,Sot’k’,,40.2001,45.8695,Geghark'unik',AM-GR,831,PM,#VALUE!
700000472,Getap’,Kasmali|Getapi,40.6543,43.9945,Shirak,AM-SH,829,PM,#VALUE!
700000473,Tat’ev,Taten|Tatev,39.3861,46.2445,Syunik',AM-SU,828,PM,26.82
700000474,Arak’savan,,40.0001,44.4667,Ararat,AM-AR,826,PM,2.70
700000475,Yeghipatrush,,40.5342,44.4731,Aragatsotn,AM-AG,826,PM,#VALUE!
700000476,Voskepar,,41.0645,45.0563,Tavush,AM-TV,825,PM,11.57
700000477,Nahapetavan,,40.6081,44.0128,Shirak,AM-SH,824,PM,#VALUE!
700000478,Hobardzi,,40.9603,44.4947,Lorri,AM-LO,821,PM,#VALUE!
700000479,Karenis,,40.3917,44.6055,Kotayk',AM-KT,820,PM,#VALUE!
700000480,Aragatsotn,,40.2603,44.1815,Aragatsotn,AM-AG,811,PM,#VALUE!
700000481,Lusagyugh,,40.6102,44.3863,Aragatsotn,AM-AG,810,PM,#VALUE!
700000482,Getargel,,40.2445,44.5973,Kotayk',AM-KT,802,PM,#VALUE!
700000483,Bagravan,,40.4793,43.6709,Shirak,AM-SH,799,PM,#VALUE!
700000484,Haghpat,,41.0956,44.7113,Lorri,AM-LO,794,PM,#VALUE!
700000485,Haght’anak,,41.2172,44.9138,Tavush,AM-TV,771,PM,#VALUE!
700000486,Vazashen,,40.9962,45.2802,Tavush,AM-TV,771,PM,#VALUE!
700000487,Jrashen,Dzhrashen,40.0861,44.0195,Armavir,AM-AV,766,PM,9.05
700000488,Aygabats’,,40.7001,43.9069,Shirak,AM-SH,763,PM,#VALUE!
700000489,Artanish,,40.4973,45.3639,Geghark'unik',AM-GR,762,PM,#VALUE!
700000490,T’eghut,,41.1151,44.8463,Lorri,AM-LO,752,PM,#VALUE!
700000491,Beniamin,,40.6903,43.8529,Shirak,AM-SH,751,PM,#VALUE!
700000492,K’araglukh,,39.8973,45.2695,Vayots' Dzor,AM-VD,749,PM,#VALUE!
700000493,Shirakavan,,40.6291,43.7305,Shirak,AM-SH,749,PM,18.70
700000494,Hayrenyats’,,40.6307,43.8727,Shirak,AM-SH,736,PM,#VALUE!
700000495,Dasht,,40.2279,44.3001,Armavir,AM-AV,730,PM,#VALUE!
700000496,Yernjatap’,,40.4557,44.4667,Aragatsotn,AM-AG,730,PM,#VALUE!
700000497,Kaps,,40.8713,43.755,Shirak,AM-SH,727,PM,#VALUE!
700000498,Hart’ashen,,39.4844,46.3815,Syunik',AM-SU,723,PM,30.99
700000499,Lusakert,,40.6727,43.8575,Shirak,AM-SH,719,PM,#VALUE!
