identifier,name,alt_name,lat,long,admin_name,admin_code,population,flag,area
700000731,Shgharshik,,39.2319,46.3333,Syunik',AM-SU,201,PM,#VALUE!
700000732,Lusakn,,40.2833,43.8167,Aragatsotn,AM-AG,200,PM,#VALUE!
700000733,Saghmosavan,,40.3807,44.3945,Aragatsotn,AM-AG,200,PM,#VALUE!
700000734,Kut’,,40.1805,45.8963,Geghark'unik',AM-GR,195,PM,#VALUE!
700000735,Saragyugh,,41.1431,43.8361,Shirak,AM-SH,194,PM,#VALUE!
700000736,Shenkani,,40.6388,44.2728,Aragatsotn,AM-AG,194,PM,#VALUE!
700000737,Hovtun,,40.9692,43.8148,Shirak,AM-SH,192,PM,#VALUE!
700000738,Sers,,39.5639,45.4805,Vayots' Dzor,AM-VD,191,PM,#VALUE!
700000739,Arjadzor,,39.2622,46.3725,Syunik’,AM-SU,186,PM,5.49
700000740,Arrajadzor,,39.3435,46.4011,Syunik',AM-SU,186,PM,#VALUE!
700000741,Amoj,,41.0593,44.5967,Lorri,AM-LO,185,PM,#VALUE!
700000742,Ot’evan,,40.3639,44.0611,Aragatsotn,AM-AG,184,PM,#VALUE!
700000743,Sorik,,40.4195,43.7223,Aragatsotn,AM-AG,184,PM,#VALUE!
700000744,Lerrnut,,40.867,43.9204,Shirak,AM-SH,183,PM,#VALUE!
700000745,Tsaghkut,,41.0967,43.6221,Shirak,AM-SH,183,PM,#VALUE!
700000746,Hermon,,39.8751,45.4279,Vayots' Dzor,AM-VD,182,PM,#VALUE!
700000747,Mijnatun,,40.694,44.356,Aragatsotn,AM-AG,180,PM,#VALUE!
700000748,Agarak,,39.2029,46.0653,Syunik',AM-SU,179,PM,16.60
700000749,Ardenis,,41.0778,43.7237,Shirak,AM-SH,179,PM,#VALUE!
700000750,Bnunis,,39.4446,46.0073,Syunik',AM-SU,178,PM,17.16
700000751,Dzoravank’,,40.6992,45.1058,Geghark'unik',AM-GR,178,PM,#VALUE!
700000752,Balak’,,39.5517,45.9293,Syunik',AM-SU,176,PM,10.68
700000753,Tretuk’,,40.2389,45.8529,Geghark'unik',AM-GR,176,PM,#VALUE!
700000754,Artamet,,40.1223,43.8555,Armavir,AM-AV,174,PM,#VALUE!
700000755,Geghi,,39.2223,46.1583,Syunik',AM-SU,174,PM,68.67
700000756,Nor Astghaberd,,39.2455,46.1077,Aragatsotn,AM-AG,174,PM,#VALUE!
700000757,Antarramej,,40.6845,45.0871,Geghark'unik',AM-GR,173,PM,#VALUE!
700000758,Aravus,,39.5655,46.4686,Syunik',AM-SU,173,PM,4.43
700000759,Daranak,,40.3675,45.5681,Geghark'unik',AM-GR,170,PM,#VALUE!
700000760,Zovashen,,40.3111,44.7473,Kotayk',AM-KT,170,PM,#VALUE!
700000761,Arevut,,40.3639,43.8139,Aragatsotn,AM-AG,169,PM,#VALUE!
700000762,Vardashat,,39.8303,45.0247,Ararat,AM-AR,168,PM,#VALUE!
700000763,Achanan,,39.2362,46.4311,Syunik',AM-SU,166,PM,7.64
700000764,Yemazlu,,39.2464,46.4317,Syunik',AM-SU,166,PM,7.64
700000765,Antarrashat,,39.3054,46.3386,Syunik',AM-SU,165,PM,16.48
700000766,Gomk’,,39.6307,45.5723,Vayots' Dzor,AM-VD,164,PM,#VALUE!
700000767,Gomur,,39.6321,45.5723,Vayots' Dzor,AM-VD,164,PM,#VALUE!
700000768,Shoghakn,,40.4695,44.4805,Aragatsotn,AM-AG,164,PM,#VALUE!
700000769,Ddmasar,,40.3417,43.8251,Aragatsotn,AM-AG,163,PM,#VALUE!
700000770,Lichk’,,39.0555,46.1751,Syunik',AM-SU,163,PM,34.92
700000771,Gyalto,,40.382,43.7289,Aragatsotn,AM-AG,162,PM,#VALUE!
700000772,Kanch’,,40.3723,43.7111,Aragatsotn,AM-AG,162,PM,#VALUE!
700000773,Metsadzor,,40.3807,44.0473,Aragatsotn,AM-AG,161,PM,#VALUE!
700000774,Dian,,40.3555,44.0751,Aragatsotn,AM-AG,152,PM,#VALUE!
700000775,Kak’avasar,,40.924,44.0211,Shirak,AM-SH,152,PM,#VALUE!
700000776,Gegharot,,40.7061,44.2197,Aragatsotn,AM-AG,151,PM,#VALUE!
700000777,Nyuvadi,,38.8917,46.479,Syunik',AM-SU,149,PM,118.61
700000778,Sarapat,,40.9357,44.0446,Shirak,AM-SH,149,PM,#VALUE!
700000779,Bardzravan,,39.4001,46.3307,Syunik',AM-SU,147,PM,10.50
700000780,Zorakert,,41.0925,43.6601,Shirak,AM-SH,146,PM,#VALUE!
700000781,T’lik,,40.4,43.6166,Shirak,AM-SH,144,PM,#VALUE!
700000782,Zedea,,39.6805,45.3945,Vayots' Dzor,AM-VD,142,PM,#VALUE!
700000783,Alvar,,41.0501,43.7501,Shirak,AM-SH,141,PM,#VALUE!
700000784,Nzhdeh,,39.3749,45.9954,Syunik',AM-SU,140,PM,28.80
700000785,Geghamabak,,40.1653,45.8069,Geghark'unik',AM-GR,136,PM,#VALUE!
700000786,Paghaghbyur,,41.1791,44.1188,Lori,AM-LO,134,PM,#VALUE!
700000787,Chakaten,,39.1473,46.4445,Syunik',AM-SU,132,PM,#VALUE!
700000788,Dashtadem,,41.1398,44.1749,Lorri,AM-LO,131,PM,#VALUE!
700000789,Norashenik,,39.2688,46.3893,Syunik',AM-SU,129,PM,9.16
700000790,Yegheg,,39.2991,46.4195,Syunik',AM-SU,122,PM,10.12
700000791,Injevar,,39.2558,46.4394,Syunik',AM-SU,121,PM,#VALUE!
700000792,Torunik’,,39.4122,46.0202,Syunik',AM-SU,121,PM,18.61
700000793,Aghvorik,,41.0773,43.7635,Shirak,AM-SH,119,PM,#VALUE!
700000794,Kalavan,,40.6486,45.109,Geghark'unik',AM-GR,118,PM,#VALUE!
700000795,Hovnanadzor,,41.0297,44.5249,Lorri,AM-LO,117,PM,#VALUE!
700000796,Koghbavan,,40.1501,43.7529,Armavir,AM-AV,115,PM,#VALUE!
700000797,Hank’avan,,40.6351,44.4841,Kotayk',AM-KT,112,PM,#VALUE!
700000798,Kaghnut,,39.279,46.512,Syunik',AM-SU,106,PM,5.84
700000799,Sevak’ar,,39.271,46.4441,Syunik',AM-SU,105,PM,#VALUE!
700000800,Sevak’ar,,39.271,46.4441,Syunik',AM-SU,105,PM,#VALUE!
700000801,Tashtun,,39.0667,46.1695,Syunik',AM-SU,105,PM,21.60
700000802,Azat,,40.1111,45.1251,Geghark'unik',AM-GR,102,PM,#VALUE!
700000803,Azati,,40.4195,45.1055,Geghark'unik',AM-GR,102,PM,#VALUE!
700000804,Bendik,,41.1549,44.7133,Lorri,AM-LO,102,PM,#VALUE!
700000805,Meghvahovit,,41.0992,44.1551,Lorri,AM-LO,102,PM,#VALUE!
700000806,Jaghats’adzor,,40.1491,45.8167,Geghark'unik',AM-GR,101,PM,#VALUE!
700000807,Vardavank’,,39.2416,46.4998,Syunik',AM-SU,101,PM,6.76
700000808,Aghvani,,39.3551,46.3054,Syunik',AM-SU,99,PM,9.92
700000809,Halavar,,40.7632,44.3852,Lorri,AM-LO,99,PM,#VALUE!
700000810,Hako,,40.3861,43.6917,Aragatsotn,AM-AG,96,PM,#VALUE!
700000811,Salkut,,40.9666,43.9333,Lorri,AM-SH,94,PM,#VALUE!
700000812,Salut,,40.9671,43.9332,Shirak,AM-SH,94,PM,#VALUE!
700000813,Okhtar,,39.2808,46.3605,Syunik',AM-SU,93,PM,3.30
700000814,Tavrus,,39.2976,46.359,Syunik',AM-SU,92,PM,3.76
700000815,Mirak’,,40.645,44.324,Aragatsotn,AM-AG,90,PM,#VALUE!
700000816,Srashen,,39.0779,46.5001,Syunik',AM-SU,90,PM,8.88
700000817,Vardaghbyur,,40.5793,43.9611,Shirak,AM-SH,90,PM,#VALUE!
700000818,Kavshut,,39.1973,46.2167,Syunik',AM-SU,88,PM,#VALUE!
700000819,Mozrov,,39.7008,45.3402,Vayots' Dzor,AM-VD,88,PM,#VALUE!
700000820,Tandzatap’,,39.3745,46.258,Syunik',AM-SU,88,PM,7.32
700000821,Getishen,,39.2262,46.1289,Syunik',AM-SU,87,PM,#VALUE!
700000822,Shaghik,,41.0487,43.5888,Shirak,AM-SH,85,PM,#VALUE!
700000823,Getavan,,41.0541,44.3367,Lorri,AM-LO,84,PM,#VALUE!
700000824,Gogavan,,41.2028,44.3144,Lorri,AM-LO,84,PM,#VALUE!
700000825,Ltsen,,39.4473,46.1571,Syunik',AM-SU,76,PM,15.96
700000826,Shrvenants’,,39.2861,46.3914,Syunik',AM-SU,76,PM,5.83
700000827,Gomaran,,39.0945,46.2083,Syunik',AM-SU,71,PM,#VALUE!
700000828,Tsaghkasar,,40.4723,43.9057,Aragatsotn,AM-AG,71,PM,#VALUE!
700000829,T’khkut,,38.9873,46.2083,Syunik',AM-SU,69,PM,#VALUE!
700000830,Barepat,,40.6695,45.114,Geghark'unik',AM-GR,68,PM,#VALUE!
700000831,Vanek’,,39.2808,46.3444,Syunik',AM-SU,62,PM,#VALUE!
700000832,Paghakn,,41.0645,43.653,Shirak,AM-SH,60,PM,#VALUE!
700000833,Uzhanis,,39.2361,46.5408,Syunik',AM-SU,60,PM,#VALUE!
700000834,Arevis,,39.4063,45.9002,Syunik',AM-SU,55,PM,18.30
700000835,Bashgyugh,,40.9444,43.9693,Shirak,AM-SH,54,PM,#VALUE!
700000836,Karmrak’ari,,40.8653,43.8889,Shirak,AM-SH,53,PM,#VALUE!
700000837,Zarishat,,40.9993,43.6576,Shirak,AM-SH,50,PM,#VALUE!
700000838,Khdrants’,,39.225,46.5263,Syunik',AM-SU,49,PM,6.58
700000839,Vahravar,,38.9503,46.1747,Syunik',AM-SU,49,PM,8.02
700000840,Dprevank’,,40.2917,44.0973,Aragatsotn,AM-AG,48,PM,#VALUE!
700000841,Gnishik,,39.6583,45.2973,Vayots' Dzor,AM-VD,45,PM,#VALUE!
700000842,Kuris,,38.9325,46.1787,Syunik',AM-SU,45,PM,14.31
700000843,Lernagyugh,,40.95,43.9166,Shirak,AM-SH,43,PM,#VALUE!
700000844,Gorrgoch’,,40.5979,44.6063,Kotayk',AM-KT,33,PM,#VALUE!
700000845,Ajabaj,,39.2529,46.0833,Syunik',AM-SU,28,PM,#VALUE!
700000846,Yeghnajur,,41.0931,43.573,Shirak,AM-SH,27,PM,#VALUE!
700000847,Gudemnis,,38.9393,46.177,Syunik',AM-SU,21,PM,15.58
700000848,Ughedzor,,39.6875,45.6798,Vayots' Dzor,AM-VD,21,PM,#VALUE!
700000849,Khordzor,,39.2037,46.3711,Syunik',AM-SU,18,PM,#VALUE!
700000850,P’khrut,,39.1473,46.2223,Syunik',AM-SU,16,PM,#VALUE!
700000851,Darik,,41.1193,43.6765,Shirak,AM-SH,11,PM,#VALUE!
700000852,Achkhlu,,39.2314,46.3072,Syunik',AM-SU,10,FM,#VALUE!
700000853,Aghajanyani,,39.8389,45.6681,Vayots' Dzor,AM-VD,10,FM,#VALUE!
700000854,Agit,,40.3417,43.8001,Aragatsotn,AM-AG,10,FM,#VALUE!
700000855,Ajylu,,39.1632,46.2906,Syunik',AM-SU,10,FM,#VALUE!
700000856,Alatala,,40.8,45.4,Tavush,AM-TV,10,FM,#VALUE!
700000857,Asei,,40.6973,44.0195,Shirak,AM-SH,10,FM,#VALUE!
700000858,Asni,,39.7973,44.8445,Ararat,AM-AR,10,FM,#VALUE!
700000859,Atdash,,40.035,45.1897,Geghark'unik',AM-GR,10,FM,#VALUE!
700000860,Atsarat,,40.3428,45.1133,Geghark'unik',AM-GR,10,FM,#VALUE!
700000861,Ayrijur,,40.6653,45.1389,Geghark'unik',AM-GR,10,FM,#VALUE!
700000862,Azatavan,,40.1361,44.0779,Armavir,AM-AV,10,FM,#VALUE!
700000863,Baharlu,,39.2206,46.2194,Syunik',AM-SU,10,FM,#VALUE!
700000864,Barabat’um,,39.2122,46.4163,Syunik',AM-SU,10,FM,#VALUE!
700000865,Bardzragah,,40.0569,45.4431,Geghark'unik',AM-GR,10,FM,#VALUE!
700000866,Berdik,,40.4819,43.9597,Aragatsotn,AM-AG,10,FM,#VALUE!
700000867,Boloraberd,,39.6695,45.3459,Vayots' Dzor,AM-VD,10,FM,#VALUE!
700000868,Bots’ik,,40.3389,43.6029,Aragatsotn,AM-AG,10,FM,#VALUE!
700000869,Bover,,41.1097,44.8251,Lorri,AM-LO,10,FM,#VALUE!
700000870,Braghdzor,,41.1167,44.8265,Lorri,AM-LO,10,FM,#VALUE!
700000871,Buzhakani,,40.5085,44.5057,Aragatsotn,AM-AG,10,FM,#VALUE!
700000872,Ch’anakhch’i,,39.2833,46.3833,Syunik',AM-SU,10,FM,#VALUE!
700000873,Chalabi,,40.8256,45.5261,Tavush,AM-TV,10,FM,#VALUE!
700000874,Champ’ateghi,,39.6723,45.2779,Vayots' Dzor,AM-VD,10,FM,#VALUE!
700000875,Chil,,40.3403,44.2667,Aragatsotn,AM-AG,10,FM,#VALUE!
700000876,Chlut,,39.8667,45.0279,Ararat,AM-AR,10,FM,#VALUE!
700000877,Daluk,,40.4153,44.9833,Geghark'unik',AM-GR,10,FM,#VALUE!
700000878,Dashalty,,39.7056,45.4417,Vayots' Dzor,AM-VD,10,FM,#VALUE!
700000879,Dashnoa,,39.9485,45.0184,Ararat,AM-AR,10,FM,#VALUE!
700000880,Demdemashen,,40.5751,44.8417,Geghark'unik',AM-GR,10,FM,#VALUE!
700000881,Dits’mayri,,39.2083,46.5001,Syunik',AM-SU,10,FM,#VALUE!
700000882,Dvalner,,40.5293,43.9305,Shirak,AM-SH,10,FM,#VALUE!
700000883,Dzknorsneri,,41.0501,43.5917,Shirak,AM-SH,10,FM,#VALUE!
700000884,Dzoragyugh,,40.4667,43.9057,Aragatsotn,AM-AG,10,PM,#VALUE!
700000885,Eridzor,,40.8279,45.5251,Tavush,AM-TV,10,FM,#VALUE!
700000886,Evazi,,40.1889,45.6917,Geghark'unik',AM-GR,10,FM,#VALUE!
700000887,Galusti,,40.3501,43.9625,Aragatsotn,AM-AG,10,FM,#VALUE!
700000888,Geyarchin,,40.75,45.05,Tavush,AM-TV,10,FM,#VALUE!
700000889,Gharaghaya,,39.9128,45.4766,Vayots' Dzor,AM-VD,10,FM,#VALUE!
700000890,Goght’anik,,39.8779,45.4611,Vayots' Dzor,AM-VD,10,FM,#VALUE!
700000891,Golovino,,40.7131,44.8494,Tavush,AM-TV,10,FM,#VALUE!
700000892,Gorshut,,41.0085,44.9861,Tavush,AM-TV,10,FM,#VALUE!
700000893,Gt’ashen,,40.4695,43.5597,Aragatsotn,AM-AG,10,FM,#VALUE!
700000894,Guteni,,39.8055,45.5375,Vayots' Dzor,AM-VD,10,FM,#VALUE!
700000895,Gyabut,,39.6244,45.5925,Vayots' Dzor,AM-VD,10,FM,#VALUE!
700000896,Gzraver,,40.7459,44.6667,Lorri,AM-LO,10,FM,#VALUE!
700000897,Hamoyi,,40.6723,45.2293,Geghark'unik',AM-GR,10,FM,#VALUE!
700000898,Heshin,,39.8029,45.1307,Vayots' Dzor,AM-VD,10,FM,#VALUE!
700000899,Hunut,,39.25,46.3833,Syunik',AM-SU,10,FM,#VALUE!
700000900,Ishkhanik,,39.2557,46.2501,Syunik',AM-SU,10,FM,#VALUE!
700000901,Janibeki,,40.2167,45.7541,Geghark'unik',AM-GR,10,FM,#VALUE!
700000902,Jrakhor,,39.2195,46.2917,Syunik',AM-SU,10,FM,#VALUE!
700000903,K’anagegh,,40.2779,45.2111,Geghark'unik',AM-GR,10,FM,#VALUE!
700000904,K’aradasht,,40.6167,45.1473,Geghark'unik',AM-GR,10,FM,#VALUE!
700000905,K’arak’os,,40.8653,44.5417,Lorri,AM-LO,10,FM,#VALUE!
700000906,Kaler,,40.3279,44.3835,Aragatsotn,AM-AG,10,FM,#VALUE!
700000907,Kaler,,39.0613,46.2758,Syunik’,AM-SU,10,FM,#VALUE!
700000908,Kamzak,,40.8953,44.1464,Lorri,AM-LO,10,FM,#VALUE!
700000909,Kapanak,,40.7667,43.9833,Shirak,AM-SH,10,FM,#VALUE!
700000910,Karakala,,40.0503,43.8664,Armavir,AM-AV,10,FM,#VALUE!
700000911,Karakishlag,,40.1206,44.3742,Armavir,AM-AV,10,FM,#VALUE!
700000912,Kat’narrat,,39.1361,46.2083,Syunik',AM-SU,10,FM,#VALUE!
700000913,Kavart,,39.235,46.3947,Syunik',AM-SU,10,FM,#VALUE!
700000914,Kayalu,,39.6925,45.5061,Vayots' Dzor,AM-VD,10,FM,#VALUE!
700000915,Khach’atakht,,39.2667,46.5125,Syunik',AM-SU,10,FM,#VALUE!
700000916,Khamvari,,40.7487,44.0779,Shirak,AM-SH,10,FM,#VALUE!
700000917,Khazmaz,,39.2695,46.0889,Syunik',AM-SU,10,FM,#VALUE!
700000918,Khnut,,39.9473,45.0639,Ararat,AM-AR,10,FM,#VALUE!
700000919,Kizilkharab,,40.0636,45.1439,Geghark'unik',AM-GR,10,FM,#VALUE!
700000920,Kizil-Kulag,,40.9083,45.4403,Tavush,AM-TV,10,FM,#VALUE!
700000921,Kozman,,41.1334,44.9022,Tavush,AM-TV,10,FM,#VALUE!
700000922,Kuchuma,,39.2,46.2667,Syunik',AM-SU,10,FM,#VALUE!
700000923,Kyurakyan,,40.1833,44.2167,Armavir,AM-AV,10,FM,#VALUE!
700000924,Lerrnakert,,40.1029,45.2861,Geghark'unik',AM-GR,10,FM,#VALUE!
700000925,Maflar,,40.9,45.4333,Tavush,AM-TV,10,FM,#VALUE!
700000926,Mamai,,41.2802,44.7915,Tavush,AM-TV,10,FM,#VALUE!
700000927,Mayrats’,,39.7265,45.5875,Vayots' Dzor,AM-VD,10,FM,#VALUE!
700000928,Mugam,,40.0707,44.2495,Armavir,AM-AV,10,FM,#VALUE!
700000929,Niavan,,40.0333,44.5333,Ararat,AM-AR,10,FM,#VALUE!
700000930,Noraber,,40.6667,43.7667,Shirak,AM-SH,10,FM,#VALUE!
700000931,Norakhpyur,,40.959,43.7071,Shirak,AM-SH,10,FM,#VALUE!
700000932,Oskevan,,40.9153,44.0917,Shirak,AM-SH,10,FM,#VALUE!
700000933,Oskoyi,,40.4765,44.4653,Aragatsotn,AM-AG,10,FM,#VALUE!
700000934,Papanino,,40.7419,44.8453,Tavush,AM-TV,10,FM,#VALUE!
700000935,Pasharaberd,,40.3389,44.5889,Kotayk',AM-KT,10,FM,#VALUE!
700000936,Pater,,40.1029,43.6861,Armavir,AM-AV,10,FM,#VALUE!
700000937,Pirdaudan,,39.25,46.1333,Syunik',AM-SU,10,FM,#VALUE!
700000938,Ragimabad,,40.1,44.3667,Ararat,AM-AR,10,FM,#VALUE!
700000939,Rrindi,,39.7667,45.1667,Vayots' Dzor,AM-VD,10,FM,#VALUE!
700000940,Sabunchi,,39.9997,44.4667,Ararat,AM-AR,10,FM,#VALUE!
700000941,Salorut,,40.8695,44.6667,Lorri,AM-LO,10,FM,#VALUE!
700000942,Sevahogh,,39.9305,45.0723,Ararat,AM-AR,10,FM,#VALUE!
700000943,Shatakh,,40.4667,43.8139,Aragatsotn,AM-AG,10,FM,#VALUE!
700000944,Shenaver,,40.9529,43.9445,Shirak,AM-SH,10,FM,#VALUE!
700000945,Shenaver,,40.1291,45.8167,Geghark'unik',AM-GR,10,FM,#VALUE!
700000946,Shok’ar,,39.5695,45.8807,Syunik',AM-SU,10,FM,#VALUE!
700000947,Surbidar,,39.5209,45.4765,Vayots' Dzor,AM-VD,10,FM,#VALUE!
700000948,T’akhs,,39.2931,46.3653,Syunik',AM-SU,10,FM,#VALUE!
700000949,T’arrat’umb,,39.8917,45.2557,Vayots' Dzor,AM-VD,10,FM,#VALUE!
700000950,Tandzut,,40.7515,45.0237,Tavush,AM-TV,10,PM,#VALUE!
700000951,Tohmik,,39.6889,45.4695,Vayots' Dzor,AM-VD,10,FM,#VALUE!
700000952,Tsaghkanav,,38.9805,46.4361,Syunik',AM-SU,10,FM,#VALUE!
700000953,Tsiranut,,40.0085,45.0153,Ararat,AM-AR,10,FM,#VALUE!
700000954,Tsvstan,,40.3069,43.8807,Aragatsotn,AM-AG,10,FM,#VALUE!
700000955,Turdzhan,,40.7833,45.3167,Tavush,AM-TV,10,FM,#VALUE!
700000956,Tuskyulu,,40.1667,45.6833,Geghark'unik',AM-GR,10,FM,#VALUE!
700000957,Ukhtaver,,40.6431,44.3375,Aragatsotn,AM-AG,10,FM,#VALUE!
700000958,Vardashen,,40.0328,44.5528,Ararat,AM-AR,10,FM,#VALUE!
700000959,Zhdanov,,40.8425,44.4375,Lorri,AM-LO,10,FM,#VALUE!
700000960,Zovaber,,39.4333,46.2333,Syunik',AM-SU,10,FM,#VALUE!
700000961,Zvartnots,,40.1529,44.4057,Armavir,AM-AV,10,FM,#VALUE!
700000962,Aygedzor,,39.4661,46.4144,Syunik',AM-SU,9,PM,#VALUE!
700000963,T’anahat,,39.4345,45.9205,Syunik',AM-SU,7,PM,11.56
700000964,Khnusik,,40.3501,44.1833,Aragatsotn,AM-AG,3,PM,#VALUE!
700000965,Kamkhut,,40.9018,43.7,Shirak,AM-SH,2,PM,#VALUE!
700000966,Norshen,,40.506,43.5952,Shirak,AM-SH,1,PM,#VALUE!
