OBJECTNAME;LON;LAT;RB;DTF;COV;REGION;POC;POCLON;POCLAT
856a5803fffffff;34.42781;4.32594;2142;16.32326257;2G;856a5803fffffff;856a5803fffffff;34.42781;4.32594
856a580bfffffff;34.34362;4.19827;5090.4;0;2G;856a580bfffffff;856a580bfffffff;34.34362;4.19827
856a580ffffffff;34.50364;4.18926;2482.5;16.94560807;2G;856a580ffffffff;856a580ffffffff;34.50364;4.18926
856a581bfffffff;34.26785;4.33496;3652.8;17.6424931;2G;856a581bfffffff;856a581bfffffff;34.26785;4.33496
856a5847fffffff;34.25932;4.07039;501.3;17.68941336;2G;856a5847fffffff;856a5847fffffff;34.25932;4.07039
856a5857fffffff;34.18353;4.20726;102.3;18.75617139;2G;856a5857fffffff;856a5857fffffff;34.18353;4.20726
856a5873fffffff;34.41946;4.06141;1573.2;17.12167321;2G;856a5873fffffff;856a5873fffffff;34.41946;4.06141
856a5b27fffffff;35.51697;3.20075;739.5;11.77602009;2G;856a5b27fffffff;856a5b27fffffff;35.51697;3.20075
856a5b2ffffffff;35.43331;3.07173;2819.1;18.57066712;2G;856a5b2ffffffff;856a5b2ffffffff;35.43331;3.07173
857a4003fffffff;37.70189;0.38021;799.2;13.13583521;2G;857a4003fffffff;857a4003fffffff;37.70189;0.38021
857a4007fffffff;37.54142;0.38853;6846.3;0;2G;857a4007fffffff;857a4007fffffff;37.54142;0.38853
857a400ffffffff;37.62405;0.52064;192.3;17.838157849999998;2G;857a400ffffffff;857a400ffffffff;37.62405;0.52064
857a4017fffffff;37.61929;0.24794;23.4;13.40711194;2G;857a4017fffffff;857a4017fffffff;37.61929;0.24794
857a4083fffffff;37.7752;-0.03356;10235.4;18.187720109999997;2G;857a4083fffffff;857a4083fffffff;37.7752;-0.03356
857a4087fffffff;37.61451;-0.02539;3357.3;9.58528119;2G;857a4087fffffff;857a4087fffffff;37.61451;-0.02539
857a408ffffffff;37.69722;0.10725;0;0;2G;857a408ffffffff;857a408ffffffff;37.69722;0.10725
857a4097fffffff;37.69253;-0.16635;35.1;18.507170170000002;2G;857a4097fffffff;857a4097fffffff;37.69253;-0.16635
857a40a3fffffff;37.37578;0.12369;549.3;0;2G;857a40a3fffffff;857a40a3fffffff;37.37578;0.12369
857a40abfffffff;37.45866;0.25621;870.3;17.25790036;2G;857a40abfffffff;857a40abfffffff;37.45866;0.25621
857a40b3fffffff;37.4537;-0.01722;27.9;13.41632676;2G;857a40b3fffffff;857a40b3fffffff;37.4537;-0.01722
857a40b7fffffff;37.29277;-0.00903;3648.6;19.873057329999998;2G;857a40b7fffffff;857a40b7fffffff;37.29277;-0.00903
857a40bbfffffff;37.53656;0.11547;0;11.62899834;2G;857a40bbfffffff;857a40bbfffffff;37.53656;0.11547
857a4187fffffff;36.48634;0.03196;949.8;13.12070577;2G;857a4187fffffff;857a4187fffffff;36.48634;0.03196
857a41b3fffffff;36.32472;0.04018;952.2;0;2G;857a41b3fffffff;857a41b3fffffff;36.32472;0.04018
857a41bbfffffff;36.40863;0.17315;50.1;15.28365382;2G;857a41bbfffffff;857a41bbfffffff;36.40863;0.17315
857a41d3fffffff;37.05386;0.14016;1676.7;13.414728069999999;2G;857a41d3fffffff;857a41d3fffffff;37.05386;0.14016
857a4427fffffff;37.68783;-0.44057;932.7;13.2565314;2G;857a4427fffffff;857a4427fffffff;37.68783;-0.44057
857a442ffffffff;37.7706;-0.30742;4746;13.83732992;2G;857a442ffffffff;857a442ffffffff;37.7706;-0.30742
857a4487fffffff;38.16184;-1.01424;8102.7;14.78529444;2G;857a4487fffffff;857a4487fffffff;38.16184;-1.01424
857a44a3fffffff;37.92249;-0.86484;4942.5;16.912354660000002;2G;857a44a3fffffff;857a44a3fffffff;37.92249;-0.86484
857a44b3fffffff;38.00083;-1.00645;2733;11.13631504;2G;857a44b3fffffff;857a44b3fffffff;38.00083;-1.00645
857a44bbfffffff;38.08348;-0.87268;5000.4;0;2G;857a44bbfffffff;857a44bbfffffff;38.08348;-0.87268
857a4503fffffff;37.12101;-0.54995;0;17.57257577;2G;857a4503fffffff;857a4503fffffff;37.12101;-0.54995
857a4507fffffff;36.95947;-0.54194;0;13.8673088;2G;857a4507fffffff;857a4507fffffff;36.95947;-0.54194
857a450bfffffff;37.20438;-0.41647;3887.4;10.695926069999999;2G;857a450bfffffff;857a450bfffffff;37.20438;-0.41647
857a450ffffffff;37.04298;-0.40842;0;10.28350458;2G;857a450ffffffff;857a450ffffffff;37.04298;-0.40842
857a4513fffffff;37.1991;-0.69159;0;0;2G;857a4513fffffff;857a4513fffffff;37.1991;-0.69159
857a4517fffffff;37.03752;-0.68363;0;13.79986114;2G;857a4517fffffff;857a4517fffffff;37.03752;-0.68363
857a451bfffffff;37.28244;-0.55796;0;0;2G;857a451bfffffff;857a451bfffffff;37.28244;-0.55796
857a453bfffffff;36.88147;-0.40035;930.3;0;2G;857a453bfffffff;857a453bfffffff;36.88147;-0.40035
857a4553fffffff;37.5268;-0.43255;2418.6;13.28775671;2G;857a4553fffffff;857a4553fffffff;37.5268;-0.43255
857a4557fffffff;37.36565;-0.42451;8267.7;13.1303109;2G;857a4557fffffff;857a4557fffffff;37.36565;-0.42451
857a455bfffffff;37.60973;-0.29935;10841.4;0;2G;857a455bfffffff;857a455bfffffff;37.60973;-0.29935
857a4563fffffff;37.04842;-0.13382;1734.9;17.164983420000002;2G;857a4563fffffff;857a4563fffffff;37.04842;-0.13382
857a456bfffffff;37.13171;-8.5e-4;3996.9;0;2G;857a456bfffffff;857a456bfffffff;37.13171;-8.5e-4
857a456ffffffff;36.97054;0.00735;32.4;11.12386015;2G;857a456ffffffff;857a456ffffffff;36.97054;0.00735
857a4577fffffff;36.96501;-0.26699;0;16.64812173;2G;857a4577fffffff;857a4577fffffff;36.96501;-0.26699
857a4583fffffff;37.19382;-0.96732;5285.4;0;2G;857a4583fffffff;857a4583fffffff;37.19382;-0.96732
857a4587fffffff;37.03205;-0.95945;0;10.544436659999999;2G;857a4587fffffff;857a4587fffffff;37.03205;-0.95945
857a458bfffffff;37.27726;-0.83333;996;0;2G;857a458bfffffff;857a458bfffffff;37.27726;-0.83333
857a458ffffffff;37.11564;-0.82542;325.5;10.088272810000001;2G;857a458ffffffff;857a458ffffffff;37.11564;-0.82542
857a4593fffffff;37.27206;-1.10931;0;0;2G;857a4593fffffff;857a4593fffffff;37.27206;-1.10931
857a4597fffffff;37.11026;-1.10149;792;0;2G;857a4597fffffff;857a4597fffffff;37.11026;-1.10149
857a459bfffffff;37.35547;-0.97517;3027;15.57133023;2G;857a459bfffffff;857a459bfffffff;37.35547;-0.97517
857a45a7fffffff;36.63008;-0.80162;2680.8;18.02407289;2G;857a45a7fffffff;857a45a7fffffff;36.63008;-0.80162
857a45b7fffffff;36.70816;-0.94367;2205.9;10.443021049999999;2G;857a45b7fffffff;857a45b7fffffff;36.70816;-0.94367
857a45c7fffffff;37.36057;-0.69954;1395;15.76966114;2G;857a45c7fffffff;857a45c7fffffff;37.36057;-0.69954
857a45cbfffffff;37.60493;-0.57393;222.9;18.22909893;2G;857a45cbfffffff;857a45cbfffffff;37.60493;-0.57393
857a45cffffffff;37.44375;-0.56595;61.2;0;2G;857a45cffffffff;857a45cffffffff;37.44375;-0.56595
857a4883fffffff;34.97437;1.06861;353.1;0;2G;857a4883fffffff;857a4883fffffff;34.97437;1.06861
857a4893fffffff;35.05141;0.92797;302.7;12.3660732;2G;857a4893fffffff;857a4893fffffff;35.05141;0.92797
857a4897fffffff;34.88949;0.93641;17831.4;15.44170911;2G;857a4897fffffff;857a4897fffffff;34.88949;0.93641
857a489bfffffff;35.13616;1.06014;79.8;16.063102360000002;2G;857a489bfffffff;857a489bfffffff;35.13616;1.06014
857a4c03fffffff;35.44492;0.49689;6227.1;19.47091811;2G;857a4c03fffffff;857a4c03fffffff;35.44492;0.49689
857a4c07fffffff;35.28294;0.50524;0;0;2G;857a4c07fffffff;857a4c07fffffff;35.28294;0.50524
857a4c0ffffffff;35.36763;0.6379;2191.8;16.86781231;2G;857a4c0ffffffff;857a4c0ffffffff;35.36763;0.6379
857a4c17fffffff;35.36025;0.36406;0;19.749572540000003;2G;857a4c17fffffff;857a4c17fffffff;35.36025;0.36406
857a4c23fffffff;35.04367;0.65466;2571.9;0;2G;857a4c23fffffff;857a4c23fffffff;35.04367;0.65466
857a4c27fffffff;34.88157;0.66304;1284;14.79015808;2G;857a4c27fffffff;857a4c27fffffff;34.88157;0.66304
857a4c2bfffffff;35.12852;0.78719;3101.7;19.088932550000003;2G;857a4c2bfffffff;857a4c2bfffffff;35.12852;0.78719
857a4c2ffffffff;34.96655;0.7956;199.2;19.01723524;2G;857a4c2ffffffff;857a4c2ffffffff;34.96655;0.7956
857a4c33fffffff;35.12087;0.51358;8520.3;16.739322899999998;2G;857a4c33fffffff;857a4c33fffffff;35.12087;0.51358
857a4c37fffffff;34.95871;0.52193;23891.4;15.8860613;2G;857a4c37fffffff;857a4c37fffffff;34.95871;0.52193
857a4c3bfffffff;35.2057;0.64628;390;15.80709057;2G;857a4c3bfffffff;857a4c3bfffffff;35.2057;0.64628
857a4c87fffffff;35.35285;0.08958;5018.7;10.76557057;2G;857a4c87fffffff;857a4c87fffffff;35.35285;0.08958
857a4c8ffffffff;35.43763;0.22276;1046.7;8.95075281;2G;857a4c8ffffffff;857a4c8ffffffff;35.43763;0.22276
857a4c93fffffff;35.59258;-0.06022;151.8;0;2G;857a4c93fffffff;857a4c93fffffff;35.59258;-0.06022
857a4cabfffffff;35.19813;0.37238;405;18.30584424;2G;857a4cabfffffff;857a4cabfffffff;35.19813;0.37238
857a4cbbfffffff;35.27546;0.23104;0;11.29024403;2G;857a4cbbfffffff;857a4cbbfffffff;35.27546;0.23104
857a4d03fffffff;34.30925;0.55532;732.3;9.67450388;2G;857a4d03fffffff;857a4d03fffffff;34.30925;0.55532
857a4d07fffffff;34.14669;0.56366;3216.9;11.963987170000001;2G;857a4d07fffffff;857a4d07fffffff;34.14669;0.56366
857a4d0bfffffff;34.39475;0.68816;6499.5;15.27547745;2G;857a4d0bfffffff;857a4d0bfffffff;34.39475;0.68816
857a4d0ffffffff;34.23233;0.69653;4315.2;0;2G;857a4d0ffffffff;857a4d0ffffffff;34.23233;0.69653
857a4d13fffffff;34.38624;0.41396;0;12.974988419999999;2G;857a4d13fffffff;857a4d13fffffff;34.38624;0.41396
857a4d17fffffff;34.22363;0.42228;3124.8;15.883288570000001;2G;857a4d17fffffff;857a4d17fffffff;34.22363;0.42228
857a4d1bfffffff;34.47173;0.54697;0;10.28586638;2G;857a4d1bfffffff;857a4d1bfffffff;34.47173;0.54697
857a4d53fffffff;34.71938;0.67141;0;8.75364087;2G;857a4d53fffffff;857a4d53fffffff;34.71938;0.67141
857a4d57fffffff;34.5571;0.67979;0;12.24663488;2G;857a4d57fffffff;857a4d57fffffff;34.5571;0.67979
857a4d8bfffffff;34.46331;0.27247;0;0;2G;857a4d8bfffffff;857a4d8bfffffff;34.46331;0.27247
857a4d93fffffff;34.45486;-0.00267;495.6;13.46696041;2G;857a4d93fffffff;857a4d93fffffff;34.45486;-0.00267
857a4d9bfffffff;34.54044;0.13085;0;11.14273608;2G;857a4d9bfffffff;857a4d9bfffffff;34.54044;0.13085
857a4dabfffffff;34.06094;0.4306;13917.6;0;2G;857a4dabfffffff;857a4dabfffffff;34.06094;0.4306
857a4dc3fffffff;34.71124;0.39732;1038.9;13.377006680000001;2G;857a4dc3fffffff;857a4dc3fffffff;34.71124;0.39732
857a4dc7fffffff;34.54878;0.40564;0;11.16465784;2G;857a4dc7fffffff;857a4dc7fffffff;34.54878;0.40564
857a4dcbfffffff;34.79646;0.53028;5468.4;9.143876200000001;2G;857a4dcbfffffff;857a4dcbfffffff;34.79646;0.53028
857a4dcffffffff;34.63414;0.53862;3063.9;8.83066883;2G;857a4dcffffffff;857a4dcffffffff;34.63414;0.53862
857a4dd3fffffff;34.78841;0.25589;0;0;2G;857a4dd3fffffff;857a4dd3fffffff;34.78841;0.25589
857a4dd7fffffff;34.6259;0.26418;0;13.06779225;2G;857a4dd7fffffff;857a4dd7fffffff;34.6259;0.26418
857a4ddbfffffff;34.87362;0.38901;15052.5;18.98365394;2G;857a4ddbfffffff;857a4ddbfffffff;34.87362;0.38901
857a5083fffffff;40.02429;1.74093;34406.4;0;2G;857a5083fffffff;857a5083fffffff;40.02429;1.74093
857a508bfffffff;40.10388;1.87005;2708.1;14.82178519;2G;857a508bfffffff;857a508bfffffff;40.10388;1.87005
857a508ffffffff;39.94663;1.87904;3999.6;18.404635340000002;2G;857a508ffffffff;857a508ffffffff;39.94663;1.87904
857a5093fffffff;40.10199;1.60271;4222.2;17.12291831;2G;857a5093fffffff;857a5093fffffff;40.10199;1.60271
857a5097fffffff;39.94456;1.61157;4273.2;19.01971976;2G;857a5097fffffff;857a5097fffffff;39.94456;1.61157
857a509bfffffff;40.18155;1.732;7133.7;14.88340019;2G;857a509bfffffff;857a509bfffffff;40.18155;1.732
857a532bfffffff;39.09573;3.39032;1088.4;16.466119279999997;2G;857a532bfffffff;857a532bfffffff;39.09573;3.39032
857a532ffffffff;38.9385;3.39985;466.2;17.29058568;2G;857a532ffffffff;857a532ffffffff;38.9385;3.39985
857a5367fffffff;39.17576;3.51734;3731.7;15.980204610000001;2G;857a5367fffffff;857a5367fffffff;39.17576;3.51734
857a5513fffffff;39.46611;1.10046;5363.7;9.50979061;2G;857a5513fffffff;857a5513fffffff;39.46611;1.10046
857a558bfffffff;39.54398;0.96135;9323.1;9.32761823;2G;857a558bfffffff;857a558bfffffff;39.54398;0.96135
857a558ffffffff;39.38556;0.96991;211.8;11.62553883;2G;857a558ffffffff;857a558ffffffff;39.38556;0.96991
857a55c7fffffff;39.62436;1.09184;4437.6;18.17071189;2G;857a55c7fffffff;857a55c7fffffff;39.62436;1.09184
857a59a3fffffff;35.75356;3.05378;1090.8;19.702342769999998;2G;857a59a3fffffff;857a59a3fffffff;35.75356;3.05378
857a59a7fffffff;35.59348;3.06277;6531.6;0;2G;857a59a7fffffff;857a59a7fffffff;35.59348;3.06277
857a59affffffff;35.677;3.19174;2191.2;12.04217175;2G;857a59affffffff;857a59affffffff;35.677;3.19174
857a5c1bfffffff;37.89338;2.26347;929.4;12.55221525;2G;857a5c1bfffffff;857a5c1bfffffff;37.89338;2.26347
857a5c53fffffff;38.13379;2.38372;733.2;17.62232696;2G;857a5c53fffffff;857a5c53fffffff;38.13379;2.38372
857a5c57fffffff;37.97501;2.39277;3887.7;0;2G;857a5c57fffffff;857a5c57fffffff;37.97501;2.39277
857a5ccffffffff;38.0523;2.25447;3223.8;11.32087405;2G;857a5ccffffffff;857a5ccffffffff;38.0523;2.25447
857a6003fffffff;38.21978;-2.5412;5433;17.30611502;2G;857a6003fffffff;857a6003fffffff;38.21978;-2.5412
857a6013fffffff;38.29871;-2.68403;834.9;14.80711922;2G;857a6013fffffff;857a6013fffffff;38.29871;-2.68403
857a6017fffffff;38.1367;-2.67692;435.9;0;2G;857a6017fffffff;857a6017fffffff;38.1367;-2.67692
857a608ffffffff;38.21566;-2.81989;20.1;15.611170029999998;2G;857a608ffffffff;857a608ffffffff;38.21566;-2.81989
857a60bbfffffff;38.05349;-2.81282;497.7;18.59482894;2G;857a60bbfffffff;857a60bbfffffff;38.05349;-2.81282
857a6107fffffff;36.92028;-2.48306;2189.4;14.5614812;2G;857a6107fffffff;857a6107fffffff;36.92028;-2.48306
857a6133fffffff;36.75729;-2.47567;2329.8;9.59052644;2G;857a6133fffffff;857a6133fffffff;36.75729;-2.47567
857a614bfffffff;37.49726;-2.09094;980.1;0;2G;857a614bfffffff;857a614bfffffff;37.49726;-2.09094
857a614ffffffff;37.33498;-2.08349;2466.9;19.3629234;2G;857a614ffffffff;857a614ffffffff;37.33498;-2.08349
857a616ffffffff;36.93154;-1.92563;4022.4;18.139874029999998;2G;857a616ffffffff;857a616ffffffff;36.93154;-1.92563
857a61abfffffff;36.83593;-2.61908;429.9;8.6190973;2G;857a61abfffffff;857a61abfffffff;36.83593;-2.61908
857a6323fffffff;37.26686;-1.38587;372.6;14.19639217;2G;857a6323fffffff;857a6323fffffff;37.26686;-1.38587
857a6327fffffff;37.10486;-1.37815;1665.9;17.131700560000002;2G;857a6327fffffff;857a6327fffffff;37.10486;-1.37815
857a632bfffffff;37.35037;-1.25139;8136.9;0;2G;857a632bfffffff;857a632bfffffff;37.35037;-1.25139
857a632ffffffff;37.18853;-1.24363;269.7;14.82208625;2G;857a632ffffffff;857a632ffffffff;37.18853;-1.24363
857a6333fffffff;37.34525;-1.52819;0;9.10537375;2G;857a6333fffffff;857a6333fffffff;37.34525;-1.52819
857a6337fffffff;37.18322;-1.52053;417.6;9.0851111;2G;857a6337fffffff;857a6337fffffff;37.18322;-1.52053
857a633bfffffff;37.42873;-1.39357;189;18.7442833;2G;857a633bfffffff;857a633bfffffff;37.42873;-1.39357
857a6343fffffff;37.99648;-1.28227;8029.2;8.70563205;2G;857a6343fffffff;857a6343fffffff;37.99648;-1.28227
857a6353fffffff;38.07496;-1.42421;978.6;10.303372999999999;2G;857a6353fffffff;857a6353fffffff;38.07496;-1.42421
857a6357fffffff;37.9136;-1.41657;1073.1;12.17690719;2G;857a6357fffffff;857a6357fffffff;37.9136;-1.41657
857a635bfffffff;38.15768;-1.28995;5125.5;18.41295748;2G;857a635bfffffff;857a635bfffffff;38.15768;-1.28995
857a6363fffffff;37.59531;-1.12489;140.4;0;2G;857a6363fffffff;857a6363fffffff;37.59531;-1.12489
857a636bfffffff;37.67841;-0.99084;802.5;12.149251329999998;2G;857a636bfffffff;857a636bfffffff;37.67841;-0.99084
857a6373fffffff;37.67368;-1.26686;5401.2;18.73620868;2G;857a6373fffffff;857a6373fffffff;37.67368;-1.26686
857a637bfffffff;37.75674;-1.13266;816.3;11.85353859;2G;857a637bfffffff;857a637bfffffff;37.75674;-1.13266
