METHODOLOGY;ALGORITHM;FORMULA;PNAME;PDESC;UNIT;RSTART;REND;STEP;DVALUE;TYPE;TYPE2;SORTA;SORTM;CONT
METHOD3;ALL;;;;;;;;;;;;;
METHOD3;ALGORITHM3_0;ALL;;;;;;;;;;;;
METHOD3;ALGORITHM3_0;FORMULA_3_0_1;GeneralVariables.CostOfSTCEq;The cost of equipment and materials for the organization of STC;currency units;1;5000;10;1087.70;ID;ID;2;17;
METHOD3;ALGORITHM3_0;FORMULA_3_0_1;GeneralVariables.LaborCostNormsForSTCOrg;Labor cost norms for the organization of STC;hour per unit per year;1;100;1;38.30;ID;ID;3;23;
METHOD3;ALGORITHM3_0;FORMULA_3_0_1;GeneralVariables.CostNormsSTCOrg;Cost norms of work on the STC organization;currency unit per hour;1;20;1;8.3;ID;ID;4;24;
METHOD3;ALGORITHM3_0;FORMULA_3_0_2;GeneralVariables.AnnualLaborCostNormsForSTCOper;Annual labor cost of STC operation ;hour per unit year;1;20;1;10.00;ID;ID;5;40;
METHOD3;ALGORITHM3_0;FORMULA_3_0_2;GeneralVariables.CostNormsSTCOper;Cost of STC operation ;currency unit per hour;1;20;1;8.3;ID;ID;6;41;
METHOD3;ALGORITHM3_0;FORMULA_3_0_3;Intermediate.TotalCostOfSTCConstruction;The total cost of acquisition and installation of equipment and materials for the construction of a STC;currency units;1;10000;1;500;IM;IM;;;
METHOD3;ALGORITHM3_0;FORMULA_3_0_3;Intermediate.AnnualCostOfSTCOperation;The operational cost of STC;currency units per year;1;10000;1;500;IM;IM;;;
METHOD3;ALGORITHM3_0;FORMULA_3_0_3;GeneralVariables.PeriodOfLANOperation;Supposed period of LAN operation;year;1;10;1;5;ID;ID;1;1;
METHOD3;ALGORITHM3_1;ALL;;;;;;;;;;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_1;GeneralVariables.STCPlaceChangeCoeff;The coefficient of a possible change in the place of STC from the center of the educational complex;coeff;1.00;2.00;0.05;1.15;ID;ID;13;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_1;BuildingParameters.Width;Total width of educational institution;meters;10.00;1000.00;1.00;50.00;ID;ID;6;6;
METHOD3;ALGORITHM3_1;FORMULA_3_1_1;BuildingParameters.Length;Total length of educational institution;meters;10;1000;1;50;ID;ID;7;7;
METHOD3;ALGORITHM3_1;FORMULA_3_1_1;BuildingParameters.HeightPlus;The average floor (level) height in the school, including ceiling;meters;2;10;0.1;6.63;ID;ID;11;11;
METHOD3;ALGORITHM3_1;FORMULA_3_1_1;BuildingParameters.Levels;Average number of storeys (levels) in educational institution building;levels;1;10;1;2;ID;ID;8;10;
METHOD3;ALGORITHM3_1;FORMULA_3_1_1;GeneralVariables.STCPlaceLevel;The coefficient of the number of storeys location of STC;coeff;0.1;2;0.1;1.30;ID;ID;14;13;
METHOD3;ALGORITHM3_1;FORMULA_3_1_1;GeneralVariables.CableBackUp;Average cable safety coefficient for installation;coeff;1;2;0.1;1.10;ID;ID;15;14;
METHOD3;ALGORITHM3_1;FORMULA_3_1_2;GeneralVariables.CableBackUp;Average cable safety coefficient for installation;coeff;1;2;0.1;1.1;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_2;SchoolSpecific.PupilsNumber;Number of pupils/students in educational institution ;person;10;10000;1;500;ID;ID;2;2;
METHOD3;ALGORITHM3_1;FORMULA_3_1_2;GeneralVariables.ClassroomWithInternet;Part of classrooms where Internet access organization required ;%;0;100;1;20;ID;ID;5;5;
METHOD3;ALGORITHM3_1;FORMULA_3_1_2;GeneralVariables.NumberOfShifts;Number of shifts in an educational institution;shifts;1;2;1;1;ID;ID;3;3;
METHOD3;ALGORITHM3_1;FORMULA_3_1_2;GeneralVariables.PupilsInInOneClass;Average number of students in one class;students;1;40;1;20;ID;ID;4;4;
METHOD3;ALGORITHM3_1;FORMULA_3_1_3;BuildingParameters.LengthOfClassroom;The average length of the classroom;meters;3;20;1;8.00;ID;ID;9;8;
METHOD3;ALGORITHM3_1;FORMULA_3_1_3;BuildingParameters.WidthOfClassroom;The average width of the classroom;meters;3;20;1;10.00;ID;ID;10;9;
METHOD3;ALGORITHM3_1;FORMULA_3_1_3;BuildingParameters.HeightMinus;The average floor (level) height in the school, excluding ceiling;meters;2;5;0.1;6.18;ID;ID;12;12;
METHOD3;ALGORITHM3_1;FORMULA_3_1_3;BuildingParameters.Levels;Average number of storeys (levels) in educational institution building;levels;1;10;1;2;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_3;GeneralVariables.CableBackUp;Average cable safety coefficient for installation;coeff;1;2;0.1;1.1;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_4;Intermediate.AvCableLenFromClassroomEntryToOutlet;The average length of the cable section from the classroom entry point up to the telecommunication outlet ;meters;1;100;1;25;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_4;Intermediate.NumberOfTOs;Total TOs number to be installed for related educational equipment;units;1;1000;1;100;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_5;Intermediate.AvCableLenFromSTCToClassroom;Average length of a section of one cable from the STC to the point of entry of cables into the classroom;meters;1;1000;1;100;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_5;Intermediate.NumberOfTOs;Total TOs number to be installed for related educational equipment;units;1;1000;1;100;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_6;Intermediate.AllCableLenFromClassroomEntryToOutlet;Length of LAN cables within the classroom to the telecommunication outlets (to connect all the necessary educating places to the designed network);meters;1;5000;1;100;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_6;Intermediate.AllCableLenFromSTCToClassroom;Length of LAN cables from STC to classrooms;meters;1;1000;1;100;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_7;Intermediate.NumberOfTOs;Total TOs number to be installed for related educational equipment;units;1;1000;1;100;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_7;GeneralVariables.BusyCoeff;Coefficient of occupied equipment ports to the total number of ports (other ports are redundant);coeff;1;2;1;0.70;ID;ID;16;15;
METHOD3;ALGORITHM3_1;FORMULA_3_1_7;LANEquipment.NumberOfPortsInSwitch;Number of ports in the switch;ports;8;128;8;24;ID;ID;17;16;
METHOD3;ALGORITHM3_1;FORMULA_3_1_8;Intermediate.NumberOfClassrooms;Number of classrooms;classrooms;1;100;1;10;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_8;LANEquipment.CostOfCable;Cost of 1 m of cable required for installation in an educational institution;currency units per meter;0.1;5;0.1;0.78;ID;ID;18;18;
METHOD3;ALGORITHM3_1;FORMULA_3_1_8;Intermediate.AllCableLenForWiredLAN;Total cable length of the wired segment LAN;meters;1;5000;1;100;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_9;Intermediate.CostOfAllCablesPlus;Cost of purchasing cables for LAN installation with a margin of 10% of the length for laying cables;currency units;1;10000;1;1000;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_9;GeneralVariables.LaborCostNormsForCableInst;Labor cost norms for the installation of LAN cables within the buildings of the educational complex (including termination);hours per meter;0.01;5;0.01;2.58;ID;ID;21;25;
METHOD3;ALGORITHM3_1;FORMULA_3_1_9;GeneralVariables.CostNormsForCableInst;Cost norms of installation work for laying LAN cables;currency unit per hour;1;20;1;5;ID;ID;22;26;
METHOD3;ALGORITHM3_1;FORMULA_3_1_9;Intermediate.AllCableLenForWiredLAN;Total cable length of the wired segment LAN;currency units;1;10000;1;1000;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_10;LANEquipment.CostOfOutlet;Telecommunication outlet cost;currency units per unit;0.1;20;0.1;5.06;ID;ID;19;19;
METHOD3;ALGORITHM3_1;FORMULA_3_1_10;Intermediate.NumberOfTOs;Total TOs number to be installed for related educational equipment;units;1;1000;1;100;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_11;Intermediate.CostOfAllOutlets;Cost of purchasing of Tos;currency units;1;10000;1;1000;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_11;GeneralVariables.LaborCostNormsForTOInst;Labor cost norms for telecommunication outlets installation ;hours per unit;0.1;10;0.1;2.30;ID;ID;23;27;
METHOD3;ALGORITHM3_1;FORMULA_3_1_11;GeneralVariables.CostNormsForTOInst;Cost norms of TO installation work;currency unit per hour;1;20;1;8.3;ID;ID;24;28;
METHOD3;ALGORITHM3_1;FORMULA_3_1_11;Intermediate.NumberOfTOs;Total TOs number to be installed for related educational equipment;units;1;1000;1;100;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_12;LANEquipment.CostOfSwitch;Cost of the selected access switch model;currency units per unit;10;500;1;321;ID;ID;20;20;
METHOD3;ALGORITHM3_1;FORMULA_3_1_12;Intermediate.NumberOfSwitches;The number of switches of the selected model ;units;1;1000;1;20;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_13;Intermediate.CostOfAllSwitchesPlus;Cost of purchasing switching equipment with ports backup;currency units;1;10000;1;1000;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_13;GeneralVariables.LaborCostNormsForSwitchInst;Labor cost norms for installation and commissioning of switches in the STC ;hours per unit;0.1;20;0.1;12.10;ID;ID;25;29;
METHOD3;ALGORITHM3_1;FORMULA_3_1_13;GeneralVariables.CostNormsForSwitchInst;Cost norms on installation work and commissioning of switches;currency unit per hour;1;20;1;8.3;ID;ID;26;30;
METHOD3;ALGORITHM3_1;FORMULA_3_1_13;Intermediate.NumberOfSwitches;The number of switches of the selected model;units;1;1000;1;100;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_14;Intermediate.CostOfInstallationAllSwitches;Total cost of installation and commissioning of switches;currency units;1;10000;1;1000;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_14;Intermediate.CostOfInstallationAllTOs;Total cost of purchasing, installation and TOs commissioning;currency units;1;10000;1;1000;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_14;Intermediate.CostOfInstallationAllCable;Total cost of laying cables for LAN installation;currency units;1;10000;1;1000;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_14;GeneralVariables.DesignConstrCoeff;The coefficient for determining the cost of design work of the total cost of construction;coeff;0;1;0.01;0.05;ID;ID;27;35;
METHOD3;ALGORITHM3_1;FORMULA_3_1_15;Intermediate.CostOfInstallationAllSwitches;Total cost of installation and commissioning of switches;currency units;1;10000;1;1000;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_15;Intermediate.CostOfInstallationAllTOs;Total cost of purchasing, installation and TOs commissioning;currency units;1;10000;1;1000;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_15;Intermediate.CostOfInstallationAllCable;Total cost of laying cables for LAN installation;currency units;1;10000;1;1000;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_15;Intermediate.DesignCost;Design cost;currency units;1;10000;1;1000;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_16;Intermediate.AllCableLenForWiredLAN;Total cable length of the wired segment LAN;meters;1;10000;1;1000;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_16;GeneralVariables.AnnualLaborCostOfCableOperation;Annual labor cost of cable operation of wired segment;hours per meter per year;0;10;0.1;5;ID;ID;28;42;
METHOD3;ALGORITHM3_1;FORMULA_3_1_16;GeneralVariables.CostOfOneCableOperation;Cost of LAN cable operation ;currency units per hour;1;20;1;8.3;ID;ID;29;43;
METHOD3;ALGORITHM3_1;FORMULA_3_1_17;Intermediate.NumberOfSwitches;The number of switches of the selected model;units;1;1000;1;100;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_17;GeneralVariables.AnnualLaborCostOfSwitchOperation;Annual labor cost of switch operation ;hours per unit per year;1;20;1;10;ID;ID;30;44;
METHOD3;ALGORITHM3_1;FORMULA_3_1_17;GeneralVariables.CostOfOneSwitchOperation;Cost of switch operation ;currency unit per hour;1;20;1;8.3;ID;ID;31;45;
METHOD3;ALGORITHM3_1;FORMULA_3_1_18;Intermediate.CostOfAllCableMaintenance;Cost of LAN cable maintenance;currency unit per year;1;1000;1;100;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_18;Intermediate.CostOfAllSwitchesMaintenance;Cost of switches maintenance;currency unit per year;1;1000;1;100;IM;IM;;;
METHOD3;ALGORITHM3_1;FORMULA_3_1_18;GeneralVariables.PeriodOfLANOperation;Supposed period of LAN operation;year;1;10;1;4;ID;IM;1;;
METHOD3;ALGORITHM3_2;ALL;;;;;;;;;;;;
METHOD3;ALGORITHM3_2;FORMULA_3_2_1;BuildingParameters.LengthOfClassroom;The average length of the classroom;meters;3;20;1;5;ID;IM;1;;
METHOD3;ALGORITHM3_2;FORMULA_3_2_1;BuildingParameters.WidthOfClassroom;The average width of the classroom;meters;3;20;1;5;ID;IM;2;;
METHOD3;ALGORITHM3_2;FORMULA_3_2_1;Intermediate.NumberOfClassrooms;Number of classrooms;classrooms;1;100;1;10;IM;IM;;;
METHOD3;ALGORITHM3_2;FORMULA_3_2_2;GeneralVariables.CoeffReserveOfEquipment;The coefficient of the necessary reserve of equipment installed directly in the training area;coeff;0;1;0.05;0.3;ID;ID;7;36;
METHOD3;ALGORITHM3_2;FORMULA_3_2_2;Intermediate.AreaOfAllClassRooms;The total area of classrooms in EI ;square meters;10;1000;10;100;IM;IM;;;
METHOD3;ALGORITHM3_2;FORMULA_3_2_2;WiFiEquipment.RadiusOfAP;The radius of the WIFI zone for a particular router in ideal conditions;meters;1;200;1;122.00;ID;ID;3;37;
METHOD3;ALGORITHM3_2;FORMULA_3_2_2;WiFiEquipment.AdapterReductionFactor;Adapter emission reduction factor due to the attenuation, associated with the number and type of barriers on the signal propagation path ;coeff;0;1;0.05;0.09;ID;ID;4;38;
METHOD3;ALGORITHM3_2;FORMULA_3_2_3;Intermediate.AvCableLenFromSTCToClassroom;Average length of a section of one cable from the STC to the point of entry of cables into the classroom;meters;1;1000;1;100;IM;IM;;;
METHOD3;ALGORITHM3_2;FORMULA_3_2_3;Intermediate.NumberOfAP;The number of access points for the organization of WES;units;1;100;1;5;IM;IM;;;
METHOD3;ALGORITHM3_2;FORMULA_3_2_4;Intermediate.NumberOfAP;The number of access points for the organization of WES;units;1;100;1;5;IM;IM;;;
METHOD3;ALGORITHM3_2;FORMULA_3_2_4;GeneralVariables.BusyCoeff;Coefficient of occupied equipment ports to the total number of ports (other ports are redundant);coeff;1;2;1;1;ID;IM;5;;
METHOD3;ALGORITHM3_2;FORMULA_3_2_4;LANEquipment.NumberOfPortsInSwitch;Number of ports in the switch;ports;8;128;8;24;ID;IM;6;;
METHOD3;ALGORITHM3_2;FORMULA_3_2_5;Intermediate.NumberOfAP;The number of access points for the organization of WES;units;1;100;1;5;IM;IM;;;
METHOD3;ALGORITHM3_2;FORMULA_3_2_5;LANEquipment.CostOfCable;Cost of 1 m of cable required for installation in an educational institution;currency units per meter;0.1;10;0.1;0.1;ID;IM;8;;
METHOD3;ALGORITHM3_2;FORMULA_3_2_5;Intermediate.AvCableLenFromSTCToClassroom;Average length of a section of one cable from the STC to the point of entry of cables into the classroom;meters;1;1000;1;100;IM;IM;;;
METHOD3;ALGORITHM3_2;FORMULA_3_2_6;Intermediate.CostOfAllCablesToConnectAP;Cost of purchasing cables to connect WIFI access points;currency units;1;10000;1;500;IM;IM;;;
METHOD3;ALGORITHM3_2;FORMULA_3_2_6;GeneralVariables.LaborCostNormsForCableInst;Labor cost norms for the installation of LAN cables within the buildings of the educational complex (including termination);hours per meter;0.01;5;0.01;2.58;ID;IM;11;;
